cat_crb,cat_fert,cat_ccr,tillage,climBeckGroup,area,SOC_mean,yield,ndm_loss_mean,nloss_kgha_mean,ndm_kgha_mean
INC,MIFHOF,CATCH,TILL_L,oth,130861,26.7,2.65,79.4846153846154,3.31391517892387,59.3846556082924
INC,MIFHOF,CATCH,TILL_L,stme,833,44.79,2.74,458.977777777778,11.13846706856,53.6393654956805
INC,MIFHOF,CATCH,TILL_L,temp,21002,74.4,1.57,2306.15,4.82462095402034,44.246310159112
INC,MIFHOF,CATCH,TILL_L,trop,120262,30.25,2.37,2428.76153846154,20.3149308939364,68.8462961509027
INC,MIFHOF,NOCATCH,TILL_H,oth,8380924,30.58,7.25,2146.85369649805,3.04753128333513,56.3711223149914
INC,MIFHOF,NOCATCH,TILL_H,stme,4269976,59.74,7.59,35656.7,25.9515712556018,55.3387708990317
INC,MIFHOF,NOCATCH,TILL_H,temp,777527,105.17,7.96,663.637556561086,6.80272415287734,58.2538626890529
INC,MIFHOF,NOCATCH,TILL_H,trop,559902,42.92,4.85,5297.42608695652,10.2007617878623,58.2481747677012
INC,MIFHOF,NOCATCH,TILL_M,oth,4612216,36.89,5.34,191.738152610442,9.06440758110782,60.3343731732531
INC,MIFHOF,NOCATCH,TILL_M,stme,5347546,58.04,5.1,2659.80598290598,4.442317050018,56.1505394625563
INC,MIFHOF,NOCATCH,TILL_M,temp,1001440,72.91,6.07,1637.64133333333,7.9850414194129,50.5142557001289
INC,MIFHOF,NOCATCH,TILL_M,trop,2896460,46.14,5.63,3049.41602564103,4.3735127573881,56.6373877441433
INC,MIFHOF,NOCATCH,TILL_L,oth,2206027,31.08,2.25,5981.18679245283,3.03692318596282,51.4215401967676
INC,MIFHOF,NOCATCH,TILL_L,stme,1121545,35.86,1.64,96268.0708333333,31.9477640415308,50.1916198483126
INC,MIFHOF,NOCATCH,TILL_L,temp,15448,107.08,2.8,585.688888888889,1.2253005597512,60.7624599594246
INC,MIFHOF,NOCATCH,TILL_L,trop,47754,32.32,2.85,2219.88181818182,19.6811351115333,68.2084980414308
INC,MIFNOF,CATCH,TILL_H,oth,11658944,33.22,8.16,2152.65650826446,1.81114083828599,9.66374986589919
INC,MIFNOF,CATCH,TILL_H,stme,33324653,59.96,9,4647.90115724983,4.37474291157968,8.49193978928567
INC,MIFNOF,CATCH,TILL_H,temp,8633581,106.42,11.44,3390.64282051282,2.60196870104995,8.02772588821465
INC,MIFNOF,CATCH,TILL_H,trop,67123455,61.62,8.97,5048.67034134008,2.26765103341451,6.8762551060005
INC,MIFNOF,CATCH,TILL_M,oth,38714520,41.02,8.89,2810.86048076923,1.97759372121709,9.61387514121279
INC,MIFNOF,CATCH,TILL_M,stme,29953419,58.94,7.03,2039.88481459682,3.32125026127878,8.95973065601615
INC,MIFNOF,CATCH,TILL_M,temp,1479287,89.51,5.46,828.434200743494,19.4082928768684,11.1780287328896
INC,MIFNOF,CATCH,TILL_M,trop,135817967,53.33,7.75,5802.99202501955,2.85013266770558,7.51056970103525
INC,MIFNOF,CATCH,TILL_L,oth,1683940,32.47,2.68,1703.02905405405,1.46388362234741,11.7070328202497
INC,MIFNOF,CATCH,TILL_L,stme,22175517,48.76,3.38,12302.705625,2.38301559231197,11.6007596455309
INC,MIFNOF,CATCH,TILL_L,temp,7947943,88.33,5.2,10868.5590909091,1.61985428312042,10.6394861815607
INC,MIFNOF,CATCH,TILL_L,trop,12481941,33.33,2.92,11558.732,2.81345343351956,16.4935814686731
INC,MIFNOF,NOCATCH,TILL_H,oth,31015803,45.22,8.43,859.61977443609,1.9492476936355,9.64292532341683
INC,MIFNOF,NOCATCH,TILL_H,stme,43621205,61.58,8.79,2660.58975276513,3.30171906020168,9.91538372402427
INC,MIFNOF,NOCATCH,TILL_H,temp,67080047,114.18,7.66,5526.04874048038,3.42408204689393,8.77599567628913
INC,MIFNOF,NOCATCH,TILL_H,trop,37572533,54.7,7.41,4691.74190064795,4.07591118531121,8.84526122334064
INC,MIFNOF,NOCATCH,TILL_M,oth,74173410,47.82,7.48,1407.16364659539,2.75266939226122,10.4516456811136
INC,MIFNOF,NOCATCH,TILL_M,stme,45023631,63.86,7.42,2033.4313400961,2.88367471767895,12.2474319784621
INC,MIFNOF,NOCATCH,TILL_M,temp,2037965,92.46,5.85,9828.20128440367,7.50365478287517,12.1383516183977
INC,MIFNOF,NOCATCH,TILL_M,trop,107693272,49.09,5.36,5109.85258064516,4.53998872078928,9.94293892479004
INC,MIFNOF,NOCATCH,TILL_L,oth,2828845,39.85,2.48,950.544326241135,1.1334988405505,12.5930890525932
INC,MIFNOF,NOCATCH,TILL_L,stme,14298365,55.41,3.42,11037.34,3.57801462459614,11.8001305226168
INC,MIFNOF,NOCATCH,TILL_L,temp,12155545,95.53,3.3,14153.85,3.48530791571555,7.88550264812019
INC,MIFNOF,NOCATCH,TILL_L,trop,3655953,29.24,2.19,8089.46636363636,2.08751054622389,17.9583956487661
